# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	43049	44050	-							JIQ42_08406	1002		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	43049	44050	-			KAG5508619.1	hypothetical protein			JIQ42_08406	1002		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	43049	44050	-	KAG5508619.1			hypothetical protein			JIQ42_08406	1002	333	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	44939	46600	-							JIQ42_08407	1662		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	44939	46600	-			KAG5508620.1	hypothetical protein			JIQ42_08407	1662		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	44939	46600	-	KAG5508620.1			hypothetical protein			JIQ42_08407	1662	553	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	48097	50088	-							JIQ42_08408	1992		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	48097	50088	-			KAG5508621.1	hypothetical protein			JIQ42_08408	1992		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	48097	50088	-	KAG5508621.1			hypothetical protein			JIQ42_08408	1992	663	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	51114	51674	-							JIQ42_08409	561		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	51114	51674	-			KAG5508622.1	hypothetical protein			JIQ42_08409	561		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	51114	51674	-	KAG5508622.1			hypothetical protein			JIQ42_08409	561	186	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	54676	56673	-							JIQ42_08410	1998		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	54676	56673	-			KAG5508623.1	hypothetical protein			JIQ42_08410	1998		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	54676	56673	-	KAG5508623.1			hypothetical protein			JIQ42_08410	1998	665	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	57661	58401	-							JIQ42_08411	741		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	57661	58401	-			KAG5508624.1	hypothetical protein			JIQ42_08411	708		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	57661	58401	-	KAG5508624.1			hypothetical protein			JIQ42_08411	708	235	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	59488	61314	-							JIQ42_08412	1827		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	59488	61314	-			KAG5508625.1	hypothetical protein			JIQ42_08412	1827		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	59488	61314	-	KAG5508625.1			hypothetical protein			JIQ42_08412	1827	608	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	62067	62783	-							JIQ42_08413	717		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	62067	62783	-			KAG5508626.1	hypothetical protein			JIQ42_08413	717		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	62067	62783	-	KAG5508626.1			hypothetical protein			JIQ42_08413	717	238	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	64204	65028	-							JIQ42_08414	825		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	64204	65028	-			KAG5508627.1	hypothetical protein			JIQ42_08414	825		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	64204	65028	-	KAG5508627.1			hypothetical protein			JIQ42_08414	825	274	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	65766	66833	-							JIQ42_08415	1068		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	65766	66833	-			KAG5508628.1	hypothetical protein			JIQ42_08415	1068		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	65766	66833	-	KAG5508628.1			hypothetical protein			JIQ42_08415	1068	355	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	67820	68422	-							JIQ42_08416	603		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	67820	68422	-			KAG5508629.1	hypothetical protein			JIQ42_08416	603		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	67820	68422	-	KAG5508629.1			hypothetical protein			JIQ42_08416	603	200	
