# Species	Genes	Alg.-Conn.	protein.GCA_000227135.faa	protein.GCA_000755165.faa	protein.GCA_017916335.faa	protein.GCA_017918215.faa	protein.GCA_017918225.faa
5	23	0.507	CBZ38281.1	AIO01986.1,AIO01988.1	KAG5466419.1,KAG5466421.1,KAG5466424.1,KAG5466426.1,KAG5466428.1	KAG5491928.1,KAG5491929.1,KAG5492255.1,KAG5492256.1,KAG5492257.1,KAG5492258.1,KAG5492259.1,KAG5492260.1,KAG5492262.1	KAG5491268.1,KAG5491270.1,KAG5491272.1,KAG5491274.1,KAG5491277.1,KAG5491282.1
5	23	0.481	CBZ36320.1,CBZ36321.1	AIO00514.1	KAG5472895.1,KAG5472896.1,KAG5472897.1,KAG5472898.1	KAG5498063.1,KAG5498064.1,KAG5498065.1,KAG5498066.1,KAG5498067.1,KAG5498068.1	KAG5496751.1,KAG5496752.1,KAG5496753.1,KAG5496754.1,KAG5496755.1,KAG5496756.1,KAG5496757.1,KAG5496838.1,KAG5496839.1,KAG5496840.1
5	23	0.397	CBZ31369.1	AIN95355.1	KAG5487804.1,KAG5487805.1,KAG5487806.1,KAG5487807.1,KAG5487808.1,KAG5487904.1	KAG5512169.1,KAG5512170.1	KAG5507850.1,KAG5507851.1,KAG5507852.1,KAG5507853.1,KAG5507854.1,KAG5507855.1,KAG5507856.1,KAG5507857.1,KAG5507858.1,KAG5507859.1,KAG5507860.1,KAG5507861.1,KAG5507862.1
5	16	0.643	CBZ38125.1,CBZ38126.1	AIO01832.1,AIO01833.1,AIO01834.1	KAG5466254.1,KAG5466255.1,KAG5466256.1,KAG5466257.1	KAG5492092.1,KAG5492093.1,KAG5492094.1,KAG5492095.1	KAG5491097.1,KAG5491098.1,KAG5491099.1
5	16	0.43	CBZ32782.1	AIN96692.1	KAG5483788.1,KAG5483789.1,KAG5483790.1,KAG5483791.1,KAG5483792.1,KAG5483793.1,KAG5483827.1,KAG5483828.1	KAG5509770.1,KAG5509771.1	KAG5505170.1,KAG5505171.1,KAG5505172.1,KAG5505173.1
5	13	0.673	CBZ33893.1,CBZ34452.1	AIN99160.1,AIN98160.1	KAG5476073.1,KAG5477953.1,KAG5486908.1	KAG5502100.1,KAG5503957.1,KAG5511598.1	KAG5499486.1,KAG5500707.1,KAG5507243.1
5	13	0.577	CBZ38090.1	AIO01800.1	KAG5466217.1,KAG5466218.1,KAG5466219.1,KAG5466220.1	KAG5492056.1,KAG5492057.1,KAG5492058.1	KAG5491060.1,KAG5491061.1,KAG5491062.1,KAG5491063.1
5	11	0.644	CBZ32933.1,CBZ32934.1	AIN96834.1,AIN96835.1	KAG5483075.1,KAG5483076.1	KAG5509298.1,KAG5509299.1	KAG5504637.1,KAG5504638.1,KAG5504639.1
5	11	0.598	CBZ31514.1	AIN95491.1	KAG5487609.1,KAG5487610.1,KAG5487611.1	KAG5512008.1,KAG5512009.1,KAG5512010.1	KAG5507747.1,KAG5507748.1,KAG5507749.1
5	11	0.356	CBZ36436.1,CBZ36437.1	AIN99448.1,AIO00623.1	KAG5475556.1,KAG5471574.1	KAG5496872.1,KAG5496873.1,KAG5500947.1	KAG5499214.1,KAG5495753.1
5	11	0.261	CBZ34966.1	AIN99193.1,AIN99194.1	KAG5476107.1,KAG5476108.1	KAG5502132.1,KAG5502133.1	KAG5499522.1,KAG5499523.1,KAG5499524.1,KAG5499525.1
5	10	0.711	CBZ35679.1,CBZ35680.1	AIN99903.1,AIN99904.1	KAG5474846.1,KAG5474847.1	KAG5500010.1,KAG5500011.1	KAG5498432.1,KAG5498433.1
5	10	0.703	CBZ34752.1,CBZ37529.1	AIN97537.1,AIN98984.1	KAG5467724.1,KAG5477253.1	KAG5493065.1,KAG5503268.1	KAG5491490.1,KAG5500192.1
5	10	0.702	CBZ33102.1,CBZ35973.1	AIN96988.1,AIO00186.1	KAG5473612.1,KAG5482398.1	KAG5499105.1,KAG5508985.1	KAG5497428.1,KAG5504263.1
5	10	0.701	CBZ35510.1,CBZ36386.1	AIN99736.1,AIO00577.1	KAG5472965.1,KAG5474666.1	KAG5498132.1,KAG5499829.1	KAG5496822.1,KAG5498252.1
5	10	0.7	CBZ37012.1,CBZ37014.1	AIO01168.1,AIO01170.1	KAG5470259.1,KAG5470261.1	KAG5495582.1,KAG5495584.1	KAG5494825.1,KAG5494827.1
5	10	0.697	CBZ33891.1,CBZ38092.1	AIN98158.1,AIO01802.1	KAG5466222.1,KAG5479784.1	KAG5492060.1,KAG5506079.1	KAG5491065.1,KAG5502413.1
5	10	0.696	CBZ32381.1,CBZ35917.1	AIN96309.1,AIO00128.1	KAG5473557.1,KAG5485419.1	KAG5499051.1,KAG5510480.1	KAG5497372.1,KAG5505979.1
5	10	0.693	CBZ35049.1,CBZ35050.1	AIN99274.1,AIN99275.1	KAG5476190.1,KAG5476191.1	KAG5502215.1,KAG5502216.1	KAG5499610.1,KAG5499611.1
5	10	0.692	CBZ36392.1,CBZ38091.1	AIO00583.1,AIO01801.1	KAG5466221.1,KAG5472971.1	KAG5492059.1,KAG5498138.1	KAG5491064.1,KAG5496828.1
5	10	0.689	CBZ33942.1,CBZ33943.1	AIN98205.1,AIN98206.1	KAG5479830.1,KAG5479831.1	KAG5506125.1,KAG5506126.1	KAG5502458.1,KAG5502459.1
5	10	0.688	CBZ34030.1,CBZ38640.1	AIN98290.1,AIO02336.1	KAG5464753.1,KAG5479917.1	KAG5489333.1,KAG5506210.1	KAG5488589.1,KAG5502543.1
5	10	0.683	CBZ32640.1,CBZ37479.1	AIN96581.1,AIO01624.1	KAG5469256.1,KAG5484434.1	KAG5494525.1,KAG5510058.1	KAG5493758.1,KAG5505361.1
5	10	0.677	CBZ31265.1,CBZ35110.1	AIN95258.1,AIN99331.1	KAG5476249.1,KAG5487998.1	KAG5502274.1,KAG5512356.1	KAG5499673.1,KAG5508302.1
5	10	0.601	CBZ38233.1,CBZ38234.1	AIO01939.1	KAG5466369.1,KAG5466370.1	KAG5492206.1,KAG5492207.1	KAG5491212.1,KAG5491213.1,KAG5491214.1
5	10	0.426	CBZ37739.1	AIN97746.1,AIO00234.1	KAG5467922.1,KAG5473660.1,KAG5486786.1	KAG5499150.1,KAG5493256.1	KAG5497475.1,KAG5491704.1
5	10	0.194	CBZ35841.1	AIO00063.1	KAG5473491.1,KAG5473492.1,KAG5473493.1	KAG5498992.1,KAG5498990.1,KAG5498991.1	KAG5497306.1,KAG5497307.1
5	9	0.747	CBZ35849.1	AIO00070.1,AIO00071.1	KAG5473500.1,KAG5473501.1	KAG5498999.1,KAG5499000.1	KAG5497314.1,KAG5497315.1
5	9	0.709	CBZ35122.1,CBZ35123.1	AIN99343.1,AIN99344.1	KAG5476261.1,KAG5476262.1	KAG5502286.1,KAG5502287.1	KAG5499685.1
