# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	52471	53472	-							GH5_08464	1002		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	52471	53472	-			KAG5512498.1	hypothetical protein			GH5_08464	1002		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	52471	53472	-	KAG5512498.1			hypothetical protein			GH5_08464	1002	333	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	54420	56081	-							GH5_08465	1662		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	54420	56081	-			KAG5512499.1	hypothetical protein			GH5_08465	1662		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	54420	56081	-	KAG5512499.1			hypothetical protein			GH5_08465	1662	553	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	57622	59613	-							GH5_08466	1992		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	57622	59613	-			KAG5512500.1	hypothetical protein			GH5_08466	1992		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	57622	59613	-	KAG5512500.1			hypothetical protein			GH5_08466	1992	663	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	60612	61172	-							GH5_08467	561		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	60612	61172	-			KAG5512501.1	hypothetical protein			GH5_08467	561		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	60612	61172	-	KAG5512501.1			hypothetical protein			GH5_08467	561	186	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	64202	66199	-							GH5_08468	1998		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	64202	66199	-			KAG5512502.1	hypothetical protein			GH5_08468	1998		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	64202	66199	-	KAG5512502.1			hypothetical protein			GH5_08468	1998	665	
