# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	43954	44955	-							LSCM4_08298	1002		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	43954	44955	-			KAG5488221.1	hypothetical protein			LSCM4_08298	1002		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	43954	44955	-	KAG5488221.1			hypothetical protein			LSCM4_08298	1002	333	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	45687	47354	-							LSCM4_08299	1668		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	45687	47354	-			KAG5488222.1	hypothetical protein			LSCM4_08299	1668		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	45687	47354	-	KAG5488222.1			hypothetical protein			LSCM4_08299	1668	555	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	48531	50522	-							LSCM4_08300	1992		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	48531	50522	-			KAG5488223.1	hypothetical protein			LSCM4_08300	1992		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	48531	50522	-	KAG5488223.1			hypothetical protein			LSCM4_08300	1992	663	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	51560	52120	-							LSCM4_08301	561		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	51560	52120	-			KAG5488224.1	hypothetical protein			LSCM4_08301	561		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	51560	52120	-	KAG5488224.1			hypothetical protein			LSCM4_08301	561	186	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	55023	57020	-							LSCM4_08302	1998		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	55023	57020	-			KAG5488225.1	hypothetical protein			LSCM4_08302	1998		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	55023	57020	-	KAG5488225.1			hypothetical protein			LSCM4_08302	1998	665	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	57841	58581	-							LSCM4_08303	741		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	57841	58581	-			KAG5488226.1	hypothetical protein			LSCM4_08303	741		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	57841	58581	-	KAG5488226.1			hypothetical protein			LSCM4_08303	741	246	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	59623	61443	-							LSCM4_08304	1821		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	59623	61443	-			KAG5488227.1	hypothetical protein			LSCM4_08304	1821		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	59623	61443	-	KAG5488227.1			hypothetical protein			LSCM4_08304	1821	606	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	62142	62858	-							LSCM4_08305	717		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	62142	62858	-			KAG5488228.1	hypothetical protein			LSCM4_08305	717		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	62142	62858	-	KAG5488228.1			hypothetical protein			LSCM4_08305	717	238	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	64255	65079	-							LSCM4_08306	825		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	64255	65079	-			KAG5488229.1	hypothetical protein			LSCM4_08306	825		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	64255	65079	-	KAG5488229.1			hypothetical protein			LSCM4_08306	825	274	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	65802	66863	-							LSCM4_08307	1062		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	65802	66863	-			KAG5488230.1	hypothetical protein			LSCM4_08307	1062		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	65802	66863	-	KAG5488230.1			hypothetical protein			LSCM4_08307	1062	353	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	67912	68514	-							LSCM4_08308	603		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	67912	68514	-			KAG5488231.1	hypothetical protein			LSCM4_08308	603		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	67912	68514	-	KAG5488231.1			hypothetical protein			LSCM4_08308	603	200	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	69946	72018	-							LSCM4_08309	2073		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	69946	72018	-			KAG5488232.1	hypothetical protein			LSCM4_08309	2073		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	69946	72018	-	KAG5488232.1			hypothetical protein			LSCM4_08309	2073	690	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	73212	74402	-							LSCM4_08310	1191		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	73212	74402	-			KAG5488233.1	hypothetical protein			LSCM4_08310	1191		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	73212	74402	-	KAG5488233.1			hypothetical protein			LSCM4_08310	1191	396	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	75851	76099	-							LSCM4_08311	249		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	75851	76099	-			KAG5488234.1	hypothetical protein			LSCM4_08311	249		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	75851	76099	-	KAG5488234.1			hypothetical protein			LSCM4_08311	249	82	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	76782	77132	-							LSCM4_08312	351		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	76782	77132	-			KAG5488235.1	hypothetical protein			LSCM4_08312	351		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	76782	77132	-	KAG5488235.1			hypothetical protein			LSCM4_08312	351	116	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	78043	78285	-							LSCM4_08313	243		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	78043	78285	-			KAG5488236.1	hypothetical protein			LSCM4_08313	243		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	78043	78285	-	KAG5488236.1			hypothetical protein			LSCM4_08313	243	80	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	79854	81218	-							LSCM4_08314	1365		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	79854	81218	-			KAG5488237.1	hypothetical protein			LSCM4_08314	1365		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	79854	81218	-	KAG5488237.1			hypothetical protein			LSCM4_08314	1365	454	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	82101	84404	-							LSCM4_08315	2304		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	82101	84404	-			KAG5488238.1	hypothetical protein			LSCM4_08315	2304		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	82101	84404	-	KAG5488238.1			hypothetical protein			LSCM4_08315	2304	767	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	85185	85775	-							LSCM4_08316	591		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	85185	85775	-			KAG5488239.1	hypothetical protein			LSCM4_08316	591		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	85185	85775	-	KAG5488239.1			hypothetical protein			LSCM4_08316	591	196	
